ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
9010327,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,1,0,2,K(3)(2320),uS,K_{3}(2320)^{+}
-9010327,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,-1,0,2,K(3)(2320),Us,K_{3}(2320)^{-}
9010443,4191.0,5.0,5.0,70.0,10.0,10.0,0,-1,-1,-1,0,0,0,0,psi(4160),cC,\psi(4160)
9010553,11000.0,4.0,4.0,24.0,8.0,6.0,0,-1,-1,-1,0,0,0,0,Upsilon(11020),bB,\Upsilon(11020)
9020113,1655.0,16.0,16.0,250.0,40.0,40.0,1,-1,1,1,0,0,0,2,a(1)(1640),(uU-dD)/sqrt(2),a_{1}(1640)^{0}
9020213,1655.0,16.0,16.0,250.0,40.0,40.0,1,-1,1,5,2,1,0,2,a(1)(1640),uD,a_{1}(1640)^{+}
-9020213,1655.0,16.0,16.0,250.0,40.0,40.0,1,-1,1,5,2,-1,0,2,a(1)(1640),Ud,a_{1}(1640)^{-}
9020221,1408.8,2.0,2.0,50.1,2.6,2.6,0,1,-1,1,0,0,0,0,eta(1405),x(uU+dD)+y(sS),\eta(1405)
9020321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,1,0,2,K(0)*(1950),uS,K_{0}^{*}(1950)^{+}
-9020321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,-1,0,2,K(0)*(1950),Us,K_{0}^{*}(1950)^{-}
9020325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,1,0,2,K(2)(2250),uS,K_{2}(2250)^{+}
-9020325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,-1,0,2,K(2)(2250),Us,K_{2}(2250)^{-}
9020443,4421.0,4.0,4.0,62.0,20.0,20.0,0,-1,-1,-1,0,0,0,0,psi(4415),cC,\psi(4415)
9030221,1506.0,6.0,6.0,112.0,9.0,9.0,0,1,1,1,0,0,0,0,f(0)(1500),Maybe non-qQ,f_{0}(1500)
9050225,1936.0,12.0,12.0,464.0,24.0,24.0,0,1,1,1,0,0,0,0,f(2)(1950),x(uU+dD)+y(sS),f_{2}(1950)
9060225,2010.0,60.0,80.0,200.0,60.0,60.0,0,1,1,1,0,0,0,0,f(2)(2010),x(uU+dD)+y(sS),f_{2}(2010)
9080225,2297.0,28.0,28.0,150.0,40.0,40.0,0,1,1,1,0,0,0,0,f(2)(2300),x(uU+dD)+y(sS),f_{2}(2300)
9090225,2350.0,50.0,40.0,320.0,70.0,60.0,0,1,1,1,0,0,0,0,f(2)(2340),x(uU+dD)+y(sS),f_{2}(2340)
